"utterance","keywords","relevances"
"そちらにはちょっと分かりかねます。","",""
"そちらの4分ぐらいにはなるのであちらでお考えでしたらちょっと重たく感じられるかと思いますがただあちらでしたら950 G なのであちらの半分程にはなりますので","半分程;考え;4;950","0.5264603495597839;0.47353965044021606;0.0;0.0"
"そちらのカメラないか気になりますか？","カメラ;気","0.5495612621307373;0.4504387378692627"
"そちらのカメラは色がたくさんあって若い方にすごく人気な配色黄色淡いピンクとか紫とかあるんですねもう","カメラ;色;黄色;方;ピンク;配色","0.21522673964500427;0.20211833715438843;0.16179607808589935;0.154642254114151;0.14880290627479553;0.11741369217634201"
"そちらのカメラを購入したいと思います。","カメラ","1.0"
"そちらのホイールもお預かりしますね。","ホイール","1.0"
"そちらの切り替えることですぐできるのでそれほど。","こと","1.0"
"そちらの印刷方","印刷方","1.0"
"そちらの方が高いほどあかりが少なくてもいい写真が撮れるものとなっておりまして蛇で最大3200なんですがあちらの方はちょっと愛想の方はないのでないですので暗い時とかでしたらこちらの方が綺麗に","方;方;方;あかり;方;写真;愛想;蛇;もの;3200","0.17651888728141785;0.14046965539455414;0.13768351078033447;0.11368756741285324;0.10510371625423431;0.09718838334083557;0.08361431956291199;0.07938022911548615;0.06635372340679169;0.0"
"そちらの方もちょっと見てみてもいいですか？","方","1.0"
"そちらはなんなられたいですか？","",""
"そちらはデジタルコンパクトカメラになったります。とても軽いですよね。","デジタルコンパクトカメラ","1.0"
"そちらは一眼レフカメラとなっては結構高いね10万円。","一眼レフ;カメラ;10万円;10万","0.5384220480918884;0.4615779519081116;0.0;0.0"
"そちらは一覧レスが貯められた。","一覧レス","1.0"
"そちらキャノンの一眼レフカメラです。本格的なカメラなので、","キャノン;一眼レフカメラ;カメラ","0.3912123143672943;0.35086876153945923;0.25791892409324646"
"そちら一眼レフカメラなってるますけどプロの方とかが使うようなそんな何","一眼レフ;方;プロ","0.3823609948158264;0.31826290488243103;0.29937610030174255"
"そちら随分軽いですよね。120 G しかありませんので、","120","0.0"
"そっか、分かりました8色は何色があります。","何色;8","1.0;0.0"
"そっか。","",""
"そっかこれは重さはどれぐらいですかね","重さ","1.0"
"そっかじゃあ ISO","ISO","1.0"
"そっかそうですねはい","",""
"そっかちょっとそういう違いはってことですねでもなんかちょっと楽しそうなのでちょっとだこれに","違い;こと","0.5463851690292358;0.45361483097076416"
"そっかー。これはお値段は。","値段","1.0"
"そっかーそんなかからなかったら別にインコの色とかってあるんです","色;別;インコ","0.3666200041770935;0.35326796770095825;0.28011199831962585"
"そっかーマリオその性能がいいところもあったりするんですよねそっかそっかそっかあそうなんだ","性能;ところ","0.5436464548110962;0.4563535451889038"
"そっか軽いんですよねどれくらいの軽さですかかなり軽いですね撮影モード厚みどれくらいあるんですかねはい","撮影モード厚;軽さ","0.5180983543395996;0.481901615858078"
"そっちかー。ほほほほちょっとちょっとあっちので見させてもらっていいですかねはい","ほほほほ","1.0"
"そっちのやつもいる。","やつ","1.0"
"そっち初心者なので、トサカはよくわかってないんですけど、最初ミラーレスて言われてましたけどそれはどういうことなんです","初心者;トサカ;こと","0.3743487596511841;0.3338157534599304;0.2918354868888855"
"その ISO っていうのは、","ISO","1.0"
"その1度ソニーのホームページ。","ソニー;ホームページ;1","0.500150203704834;0.499849796295166;0.0"
"その1度ソニーのホームページ。広川三宿","ソニー;ホームページ;広川三宿;1","0.40595805644989014;0.30995622277259827;0.2840857207775116;0.0"
"その20.1メガピクセルっていう数字はあの後低い方とか高い方とか揃っていて栗田かえでどうとか。","ピクセル;方;数字;栗田かえ;方;20.1","0.23078693449497223;0.21192514896392822;0.2039135992527008;0.18555442988872528;0.16781988739967346;0.0"
"その24というその数字はその他のカメラと比べて結構高い数字になるんですか","数字;他;カメラ;24","0.46894314885139465;0.26552844047546387;0.26552844047546387;0.0"
"その2。補正効果とかもあるんですか？","補正効果;2","1.0;0.0"
"そのことにしていればあのはい普通にフラッシュはできます","こと;フラッシュ","0.5786328315734863;0.42136716842651367"
"そのその文章紐をちょっと教えてもらっていいですか？","文章紐","1.0"
"そのぶん性能もまた皿高く解像度とかは、","ぶん性能;皿;解像度","0.3911380171775818;0.3395930528640747;0.2692689299583435"
"そのようですね。まほとあそしたらただ、手軽さで行くとやばいことになりますね。","手軽さ;まほ","0.5094920992851257;0.4905078709125519"
"そのカメラすごく安くてお買い得なんですよ6800円で色もいっぱいあって","カメラ;色;6800円;6800","0.5271121263504028;0.47288790345191956;0.0;0.0"
"そのフラッシュは自動で暗くなった勝手にフラッシュがつくとかそういうのがついてます。","フラッシュ;自動;勝手","0.44461721181869507;0.29155346751213074;0.2638293504714966"
"そのプリンターをプリンター使ってえっとこれここからそのあの写真をね印刷したいんですけれどもちょっとやり方がわかんなくてはいそうですね","プリンター;写真;やり方","0.43962493538856506;0.2801875174045563;0.2801875174045563"
"その人たちを見ていいですか。はいそうですねこちらはちょっと行っていただこうかと思いますはい","人たち","1.0"
"その人を撮り写真を撮りたいんですけど。","人;写真","0.5628650784492493;0.43713492155075073"
"その人を撮るカメラを探してて、","人;カメラ","0.5530768632888794;0.4469231367111206"
"その人物だけじゃなくって受け取ることもやっぱりやりますもんねそっか。","人物","1.0"
"その他にもソニーの8にも自動機能が備えてますがこちらにもあの自動機能で撮影モードというものを備えておりましてこちらが18種類の撮影モードがあって様々なシーンで撮影モードを切り替えることで回し初心者の方でも使いやすいでそういったカメラなってます","ソニー;自動機能;方;撮影モード;撮影モード;他;撮影モード;自動機能;初心者;シーン;こと;もの;カメラ;8;18","0.09652519971132278;0.09419625997543335;0.09419296681880951;0.09072521328926086;0.08712311834096909;0.0869147777557373;0.07816947251558304;0.07278425246477127;0.0648590475320816;0.06255147606134415;0.06255147606134415;0.05547439679503441;0.05393233522772789;0.0;0.0"
"その価格っていう意味で、朝普通の一眼レフとどれぐらい違うんですか？","価格;意味;朝普通;一眼レフ","0.3076503872871399;0.2743391990661621;0.23500528931617737;0.18300513923168182"
"その別のレンズはまた別売りですか。","別;レンズ;別売り","0.42202651500701904;0.3159677982330322;0.26200568675994873"
"その別の物をつけてくるとお値段も上がりますかね。","物;別;値段","0.4256138503551483;0.3634530007839203;0.2109331637620926"
"その数字っていうのはその他のカメラですとかそのスマートフォンとかと比較したらどれぐらいの画質になるんですかね","他;数字;スマートフォン;画質;カメラ","0.22706648707389832;0.2095063328742981;0.1924295574426651;0.1882520616054535;0.1827455461025238"
"その方がいいですか。 止まってます。少々お待ちください。","方","1.0"
"その時に、伸びてしまったりとかそういうのが大きくしてもないっていうことですか普通の写真と同じように","写真;こと","0.5052923560142517;0.4947076737880707"
"その時に使われるカメラそうでしたらあの軽いカメラとかがいいでしょうか。","カメラ","1.0"
"その機能いいですね。","機能","1.0"
"その点あっちはちょっとそれはないですね。","点","1.0"
"その補正効果が多分その人物出せに向いてるなと思うんですけどその目であったりその効果を以外には具体的にはどういった機能があるんですかね","補正効果;人物;機能;効果","0.3173035979270935;0.24095113575458527;0.24095113575458527;0.20079413056373596"
"その解像度とか。","解像度","1.0"
"その風景を撮りたいなっていう風に思ってるんですけど何か撮る上でそうですねはい自動機能だったりスノーアイスの部分でてもいいですか","風景;風;スノーアイス;部分;自動機能","0.2312227189540863;0.20429863035678864;0.19781917333602905;0.18590480089187622;0.1807546615600586"
"そば納豆ねえそうそうあの自動機能音のちょっと子知りたいんやけど。","そば納豆;自動機能音","0.5628650784492493;0.43713492155075073"
"そもそも一番違うのは手動か自動化があることなんですけれども後こちらの方は線を撮影が可能ですのでシャッター音を消すことができます","手動か自動化;シャッター音;撮影;こと;方;線;一","0.23945273458957672;0.17953155934810638;0.17409180104732513;0.15703096985816956;0.1249464675784111;0.1249464675784111;0.0"
"それいいですねその他の他のカメラもその一応見てから決めてもいいですか","他;カメラ","0.6484071612358093;0.3515928387641907"
"それいろいろちょっと帰れそうですねまあそうです女性なかったらその肌をきれいにしたりとか可愛いねちょっと可愛くちょっとだけ可愛くねそうですねちょっと見栄えの良い写真をそうですね","女性;見栄え;肌;写真","0.28314173221588135;0.24585403501987457;0.2362937033176422;0.23471054434776306"
"それかあじゃあちょっとお安い店を安くなってきてるのかもしれないですね","店","1.0"
"それかすごいですね違いますあの白あるんですよね私いろいろくださいはいはい","",""
"それかセガでちょっと予算オーバーなんでちょっと見合わせ頂いてすいません刺されございました。","セガ","1.0"
"それが13種類もあるって凄い楽しめそうですね。","13","0.0"
"それが。","",""
"それがその自動機能のひとつともう一個と昨日の撮影モードっていうのは","自動機能;撮影モード;ひとつ","0.369283527135849;0.3293883502483368;0.3013281226158142"
"それがちょっと分かんなくて。","",""
"それがカメラでできるんですねどれくらいですか","カメラ","1.0"
"それが両方綺麗に撮れるってなってくると、","",""
"それが分からなくて。","",""
"それくらいあれば十分なんですかね。","",""
"それございます一眼レフなんかご覧なられますかはいこちらになります。Canon EOS 5 d mark iii という一眼レフになっております。","一眼レフ;Canon EOS 5 d mark iii;5","0.7526954412460327;0.24730455875396729;0.0"
"それしますよね。","",""
"それじゃあねお値段結構違うなどうしよっかなあーなるほどなるほどにまた考えていません","値段","1.0"
"それじゃあねこれおおいくらですか","",""
"それじゃあ出てこれでなんかいろんな議論はあるし、良さそうですね。","良さ;議論","0.5030588507652283;0.49694111943244934"
"それじゃねえなあ。","",""
"それそこ。これおいくらでしたっけお値段的にこれが一番安い一番軽くて一番安いんですよねでも一応光学ズームとかも付いてるのですね","光学ズーム;一;一;一","1.0;0.0;0.0;0.0"
"それそれ。こちらその ISO っていう機能と猛暑新車の電話聞いたことないんですけどどういった機能なんですか","機能;ISO っていう機能;猛暑新車;こと","0.3220871686935425;0.28045982122421265;0.22983494400978088;0.167618066072464"
"それだけしかないんですね。","",""
"それだけの機能が入ってて、値段はどれぐらいになるんでしょうか？","機能;値段","0.5325197577476501;0.46748021245002747"
"それだけ機能が。ついてるものにはなりますので、","機能;もの","0.6290739178657532;0.3709261119365692"
"それで8人物も取られたいということですよね人物取られたいんでしたら今度こちらのカメラ補正機能というのがありまして目を移したあの方の音を大きくしたり肌綺麗にしたいと女の女性の花だったらええと肌綺麗に見せた方が嬉しいと思うのでそういった意味でもこういうのカメラはものすごくおすすめです","人物;人物;こと;方;カメラ;方;音;意味;女性;花;おすすめ;目;肌;カメラ補正機能;女;8","0.1035100519657135;0.09225023537874222;0.08169254660606384;0.07901054620742798;0.07444901764392853;0.07254846394062042;0.06128357723355293;0.060728199779987335;0.0585441030561924;0.0585441030561924;0.056945230811834335;0.05537984520196915;0.05334671214222908;0.0518566258251667;0.03991073742508888;0.0"
"それで、このお値段だったらお得ですよねですよね。鼻が今日買うつもりじゃなかったけどなんかねこのお安いんだったらこのピンクいただきます。","値段;ねこ;鼻;ピンク","0.4278184473514557;0.21322210133075714;0.20259660482406616;0.1563628613948822"
"それであちらから比べるともうだいぶあの雰囲気もあって参りますが重さわずか120 G でコンパクトなので普段使いポケットに入れたりバッグに入れていつでも持ち歩きできるかなとはいそういった方におすすめのタイプです","雰囲気;方;おすすめ;タイプ;使いポケット;重さ;バッグ;120","0.20572270452976227;0.1477508395910263;0.1399632841348648;0.1399632841348648;0.13453814387321472;0.12923331558704376;0.10282842069864273;0.0"
"それであのフラッシュもできるんですけどラッシュするとその人物っていうか手前の光が届く部分は綺麗に取れますけど背景とかの真っ黒になりがちなんですがこの映像があると背景も含めて綺麗に夜景が撮れます","背景;フラッシュ;映像;夜景;手前;光;部分;人物;黒","0.2356778085231781;0.13512568175792694;0.11231385916471481;0.09757675975561142;0.08951883763074875;0.08951883763074875;0.08951883763074875;0.08873875439167023;0.06201062351465225"
"それでこちらに関してはその抑制されてるので、鳥を撮りたいなっていう時にはもう音無しで。しっかり取って頂けます。","音無し;鳥","0.5204541683197021;0.47954586148262024"
"それでこちらも写真者向けなのであの自動機能もたくさん付いております","写真者;自動機能","0.5679242014884949;0.4320757985115051"
"それでございます。","",""
"それでございますか、刺身で一眼レフいかがでしょうか。","一眼レフ;刺身","0.509920597076416;0.4900793731212616"
"それでございますかこちらコバエまでになりますのでもう少し望遠といますか聞いた形でしたらミラーレス一眼カメラ店ものもございますが","コバエ;ミラーレス一眼カメラ店もの;望遠;形","0.27758216857910156;0.27578434348106384;0.24573856592178345;0.20089492201805115"
"それでしたら、一番お値段が中間で機能が付いたまま付いてますこちらの方に。おすすめさせて頂きますね。ミラーレス一眼カメラになりまして。470 G でまああのこちらの大きいカメラの方では扱いやすいものにはなってあります","値段;中間;機能;方;方;カメラ;もの;ミラーレス一眼カメラ;470;一","0.19187670946121216;0.19187670946121216;0.18349766731262207;0.16336628794670105;0.08249033987522125;0.07934100925922394;0.06311657279729843;0.04443470761179924;0.0;0.0"
"それでしたらお手軽な。借り物を進めさせて頂きますね。白のニコンのコンパクトカメラになりますので、120グラムと大変軽いのでお手に取ってみてください。","借り物;手;ニコン;白;コンパクトカメラ;120","0.34091484546661377;0.19436761736869812;0.19095204770565033;0.16851603984832764;0.10524945706129074;0.0"
"それでしたらこちらがすごくあのおすすめとなってますはい","おすすめ","1.0"
"それでしたらこちらのカメラがオススメにはなりますね","カメラ;オススメ","0.5031241774559021;0.4968757927417755"
"それでしたらこちらのソニーがおすすめなりますね","ソニー","1.0"
"それでしたらこちらのソニーの方が扱いやすいカメラにはなっておりますね","ソニー;方;カメラ","0.4135325253009796;0.31254732608795166;0.2739201784133911"
"それでしたらこちらの方が家では二番目に軽いものになるんですが撮影は綺麗にできるカメラで8デジタルミラーレスの一眼カメラとなっておりますはいお色は黒と白とシルバーと3色となっております","カメラ;方;白;色;もの;シルバー;黒;ミラーレス;撮影;一眼カメラ;8;3;二","0.12711317837238312;0.12710893154144287;0.1086619421839714;0.10089448094367981;0.0975564569234848;0.09673316776752472;0.09348539263010025;0.08875145018100739;0.0834401398897171;0.07625486701726913;0.0;0.0;0.0"
"それでしたらこちらは本当にあの記念撮影とかに使っていただけるカメラになりますので少し機能が付いてるものがよろしければソニーやキャノンの一眼レフがございますが白もご覧になられますかソニーのミラーレス一眼カメラになります。ご覧になられますか？","ソニー;記念撮影;カメラ;ミラーレス一眼カメラ;機能;もの;キャノン;一眼レフ;白","0.1845860481262207;0.13282188773155212;0.12885873019695282;0.11546208709478378;0.09778857976198196;0.09204403311014175;0.09204403311014175;0.08887075632810593;0.06752384454011917"
"それでそれで売れてるんだもん。持ち運びがいいのと思いじゃあこれを買おうと思うんですけど8色は何しはいはい","持ち運び;8","1.0;0.0"
"それではじゃあ今回こちらの方購入させていただきたいと思い、","方","1.0"
"それでもちょっとごめんなさいここまでお話聞かせてもらったんですけどちょっと検討したいのではいあのまたちょっとあの今度買いに行きますすいませんありがとうございます","",""
"それでも安いかと思います。","",""
"それでオイルもうちょっとあの変わった明るい色がありまして、赤紫ピンクってものがございます。","オイル;赤紫ピンク;もの;色","0.30218884348869324;0.24323442578315735;0.2295255810022354;0.225051149725914"
"それで一応こちら解像度は20.1メガピクセルと仮定しては十分にもきれいではあるんですけれどもただもこちらの商品はコンパクトで持ち運びがいいてんのが一番の売りになっておりますのであのしっかりしたあの撮影をしたいってことであれば一眼カメラというものもございます","こちら解像度;ピクセル;撮影;商品;こと;一眼カメラ;もの;コンパクト;持ち運び;売り;20.1;一","0.13299068808555603;0.1136900931596756;0.11094049364328384;0.10468307882547379;0.10120933502912521;0.09531302750110626;0.09531302750110626;0.09285827726125717;0.09285827726125717;0.06014370545744896;0.0;0.0"
"それで人を撮りたいなって思ってるのですごくその解像度だったり聞くだけ綺麗に取れるか見ないところが","人","1.0"
"それで当店である文でしたらこちらよりも解像度優れてるタイプがあるんですけれどもあのそちら性能がいいほうでしたらもう一個上のランクをお勧めしますがこちら持ちやすく普段使いに良いのでこちらでも十分良い写真は撮れますけれども","文;当店;タイプ;写真;性能;ランク","0.2117471545934677;0.2103000283241272;0.15970733761787415;0.15465667843818665;0.15093040466308594;0.11265840381383896"
"それで自動機能というものがございましてお墓に二つございます撮影モードとピクチャーエフェクトというものがありまして一つ目の撮影モードにつきましては8シーンに合わせて撮影していただくことで最適な写真を撮影することができるというものもので例えば海とか森とか山とかそういう風な仕事に設定して撮影することができます全部で9種類ございますもう一つのピクチャーエフェクトというのはそうですね被写体の背景をぼかしたりポスターみたいな写真にするといった特殊な効果をつけるためのモードとなっておりましてこちら臀部で12種類となっております","写真;ピクチャーエフェクト;もの;撮影モード;撮影モード;もの;もの;もの;効果;モード;墓;自動機能;臀部;森とか山;ポスター;被写体;背景;例えば海;こと;仕事;全部;8;9;12;二;一;一","0.09809882193803787;0.09090980887413025;0.07327689975500107;0.07197153568267822;0.06889378279447556;0.06317313015460968;0.052073877304792404;0.052073877304792404;0.051723361015319824;0.04401387274265289;0.04236360266804695;0.04236360266804695;0.03301246464252472;0.0318102203309536;0.030873361974954605;0.02970220521092415;0.02970220521092415;0.0280139297246933;0.02614581398665905;0.019901812076568604;0.019901812076568604;0.0;0.0;0.0;0.0;0.0;0.0"
"それで言えば黒がいいかなーって。","黒","1.0"
"それで野球とかがもうとても綺麗に撮れます。","野球","1.0"
"それで風景撮るにはもう昨日としても申し分ない。","風景","1.0"
"それで高いですね。","",""
"それとお客様があのこっちがバネ自動機能が付いてませんでしてお客様自身であるピント合わせて写真を撮っていただけるということでしたらこちらの方が牧野としてはちょっと上にはなります","客;バネ自動機能;牧野;こと;方;写真","0.32217422127723694;0.16248808801174164;0.15578719973564148;0.13702267408370972;0.1317662000656128;0.09076163172721863"
"それとこちらは本体のみで950 G ございますお客様好きなのレンズが別になってるんですけれどもまああの1 kg 越えてくるますよ寝ましたら","本体;レンズ;客;別;950;1","0.31357458233833313;0.2503635287284851;0.22298188507556915;0.2130800038576126;0.0;0.0"
"それとねあちらのソニーの方はミラーレスの一眼になりますこちらもきれいには撮影できるんですけど","ソニー;方;ミラーレス;一眼","0.2934676706790924;0.25028926134109497;0.23353560268878937;0.22270748019218445"
"それとももう少しちょっと安いのがないかなと。","",""
"それと前も少し他も見させてゆっくりさせてなければと。","他","1.0"
"それと遊んだり、様々な環境で撮影ができる軽いカメラが欲しいんですけれども。","カメラ;撮影;環境","0.34662291407585144;0.3339991569519043;0.31937795877456665"
"それなりにしますね。","",""
"それなりにものすごく重いわけでもないしってかですねあなんか黒かかっこいいですね黒以外になんかあるんですか色は","黒;か色","0.610846996307373;0.38915300369262695"
"それなりに分かりましたではあの詳しいものを選んで参りますので、少々お待ちいただけますか。 天井スイマセンほどプリンターの使い方わからないお客様がおられますので対応お願いします。","もの;プリンター;使い方;客;天井スイマセン","0.33155789971351624;0.18572640419006348;0.17934496700763702;0.17934496700763702;0.12402576208114624"
"それになると思うこのコンパクトカメラと言って小さなカメラになるんです。","コンパクトカメラ;カメラ","0.5750355124473572;0.4249644875526428"
"それにまあレンズを出して魔術1 kg 運動しようかな、家でもこれいいなあ自動。静かに静音機能が付いてるのが欲しいと思ってたんですよね。昨日はついてないので","レンズ;魔術;家;静音機能;1","0.3404831886291504;0.2985314428806305;0.23756526410579681;0.12342008203268051;0.0"
"それにまあレンズを出して魔術1 kg 運動しようかな、家でもこれいいなあ自動。静かに静音機能が付いてるのが欲しいと思ってたんですよね。昨日はついてないのでこれ値段どれくらいですか今で。 20万20万年に10万回。部屋でも音を消せる。嬉しいなあ。どうしようかなー。","レンズ;魔術;家;静音機能;部屋;音;1;20;20万;10万","0.2694864869117737;0.2694864869117737;0.23342034220695496;0.1192803829908371;0.054163165390491486;0.054163165390491486;0.0;0.0;0.0;0.0"
"それにプラスあのレンズを取り付けていただくという形になっております。","プラス;レンズ;形","0.4074003994464874;0.37430813908576965;0.21829146146774292"
"それね、先ほどのに比べました半分ぐらいに落ちますけれども、最大で3200まではございますので、十分こちらでもあのご利用可能かと思います。","先ほど;半分;3200","0.5628650784492493;0.43713492155075073;0.0"
"それねこちらも5倍までは可能になっておりますのではい普段通りではこちらで十分対応できるかと思います","5","0.0"
"それねこちら本体のみで950 G になっております後はレンズ。はまた別でつけていただく形になりますので、","本体;レンズ;形;950","0.4902070462703705;0.28526797890663147;0.22452498972415924;0.0"
"それねレンズなし本体のみで950 G ございますので倍近くはなって参ります","レンズ;本体;近く;950","0.3624539077281952;0.3268643319606781;0.3106817305088043;0.0"
"それは、","",""
"それはいいですね。お父さんそうですねえっとこれの価格はいくらぐらいでしょうか","価格","1.0"
"それはいいですねここ押しちゃった音が静かだとはいあんまり行動物資とかびっくりしなくていい写真が撮れるなれ。","写真;音;行動物資","0.3846800923347473;0.3402266502380371;0.2750932574272156"
"それはいいですねちょっとあのちょっと色々あの遊びに行く時とかも使いたいんで撮影ものとかいっぱいあるんですか","撮影もの;遊び","0.5834507346153259;0.4165492653846741"
"それはいいですねチョコの解像度はどこでどのぐらいですか","解像度;チョコ","0.5121495127677917;0.48785051703453064"
"それはかなり性能機能がいろいろ付いております。","性能機能","1.0"
"それはこちらでお受けしますねお願いします","",""
"それはちょっとあのできかねるかと思うんですけれども今日のぼやかすっていうのはその金と1ドルがうちございましてピントを合わせて撮るとその人物とか前にピント合わせたところはしっかり取れてあとこう風景がぼやけるんですけれどもこちらそういう機能を使うことによってますプロが撮ったようなみたいに見せることができるっていう感じになりません。","機能;金;ピント;プロ;こと;人物;感じ;ところ;風景;1ドル;1","0.14739713072776794;0.13029929995536804;0.12927216291427612;0.11628592014312744;0.11057507991790771;0.10687007009983063;0.09797318279743195;0.0825347900390625;0.07879234850406647;0.0;0.0"
"それはちょっとあのアナログのカメラになりますのでちょっと自動機能は備えておりませんですのでご自身で合わせて頂いて撮影を楽しんでいただけるカメラとなっております","カメラ;アナログ;撮影;自動機能","0.34993597865104675;0.2655546963214874;0.20216041803359985;0.18234889209270477"
"それはどれぐらいのもんなんでしょうか。","",""
"それはやっぱり難しいですか。","",""
"それはパソコンで加工をしたりこれ本体ですそうなんですねえこれは8色は何かありますか","パソコン;加工;本体;8","0.37741556763648987;0.3599715232849121;0.26261287927627563;0.0"
"それは価格はいくらなんで。","価格","1.0"
"それは値が大きいほどきれいに取れるって。","値","1.0"
"それは嬉しいですねじゃあこれ買います","",""
"それは寒いとか嫌でしたらこちらの方が持ち運びしやすいのではいはい大変扱いやすい重たくてもね持って行かないってなるとせっかくお値段するのにもったいない気がしますね","方;気","0.5155491828918457;0.4844508469104767"
"それは楽しい方なんですかねあまり分かってないんですけど","方","1.0"
"それは確かに助かりますけどねただちょっとまだうん初めて今日来たところなのでもうちょっと検討してまたはい来させてもらいます","",""
"それは解像度がそちらの方が高くなるって事ですか。","解像度;方","0.5576817989349365;0.4423181712627411"
"それは解像度は24.0メガピクセルとなっておりますので、大変高いものがついておりますので、","解像度;もの;ピクセル;24.0","0.4183720052242279;0.3173972964286804;0.2642306983470917;0.0"
"それは高くどんな感じなの？","",""
"それほど。自動機能のなんか撮影する時自動機能とかってあるんですかこのカメラって","自動機能;カメラ;自動機能","0.4275989234447479;0.2943701446056366;0.2780309319496155"
"それほどこのカメラって重さどれくらいありますか？","重さ;カメラ","0.509920597076416;0.4900793731212616"
"それほど光学ズームとかも無くさないためです。","光学ズーム","1.0"
"それほど重さってどれぐらいある？","",""
"それほど難しくはないのか。","",""
"それも12種類あるんですね。それが6800円っていうのはすごいお買い得ですね。","お買い得;6800円;12;6800","1.0;0.0;0.0;0.0"
"それも今日は買おうと思ってたのでどれかと思ってそしたらこれをあの変わりようにします色を図書かな。し、一度しようと思います。","色","1.0"
"それも撮影って何ですか？","撮影","1.0"
"それも楽しそう ISO とかもいいんですか。","",""
"それも見させてもらっていいですか？","",""
"それも見せて頂いていいですか。","",""
"それより高いカメラはあるんですけどあのこれがついてるのついてない結構違ったりはします","カメラ","1.0"
"それをとっての結果、","結果","1.0"
"それを主に取りたいんですけどなんかこれなんか勝手にモードっていうのがあるみたいな白いジェームスとかで有利な機能とかありますか","機能;白いジェームス;モード","0.3704705834388733;0.36020737886428833;0.2693220376968384"
"それを自動で。","",""
"それ少しちょっと色々見させていただいても大丈夫ですか。","",""
"そろそろ価格ってどれくらいですか？","価格","1.0"
"そろそろ撮影モードが結構い。パス種類があるって伺ったんですけど、具体的にそのどういったシーンでどういう撮影ができるって言うのがあるんですか。","撮影モード;パス種類;撮影;シーン","0.3806142210960388;0.2451406717300415;0.24145576357841492;0.13278932869434357"
"そんなあるのにすみまえくちゃエフェクトって何ですかこれ","ちゃエフェクト","1.0"
"そんなに。","",""
"そんなにあるんですか、何色があるんですか。","何色","1.0"
"そんなにあるんですか。","",""
"そんなにあるんですって。せっかくなのでちょっと他のも見させて","他","1.0"
"そんなにあるんですね、昨日とかは結構ボタンで押すだけでできますかね。","ボタン","1.0"
"そんなにあるんですね。","",""
"そんなにがっつりではないんですけど。日頃から景色だったり、風景をとっておりまして、","景色;風景","0.590655505657196;0.40934446454048157"
"そんなにバリエーションがあるんですねあじゃあちょっとあの解像度とかちょっと聞きたいんですけど","バリエーション;解像度","0.6168227195739746;0.3831772804260254"
"そんなに使わないんですけれど。","",""
"そんなに居るんですね、補正効果だけでもあの扱いやすさと言うか、全然写真をちゃんとそれほどやってないものでも気軽に取れるのはこれになるんですね。","補正効果;写真;もの","0.34870317578315735;0.3402654528617859;0.31103137135505676"
"そんなに悪くもないんか重さは軽いですね、何グラムですか。","何グラム;んか重さ","0.523381769657135;0.4766182601451874"
"そんなに種類があるんですね。","種類","1.0"
"そんなに種類があるんですねそのやまとかそういう自然の風景みたいなのも結構綺麗に撮れたりはするんですかね","種類;風景;自然","0.4105590879917145;0.30131566524505615;0.288125216960907"
"そんなに行かないです。","",""
"そんなに軽いんですね。","",""
"そんなに難しくないんだねばじゃあ綺麗に取れる方がいいですねの価格はどれぐらいになるんでしょうか","方;価格","0.5419285297393799;0.45807144045829773"
"そんなのよっぽど暗いところで何か動物を撮影したいとかそういうあのねあの皆既月食だとかそういうものばかりを取られるんであれば家がおすすめですが通常使いには","ところ;何か;動物;家;皆既月食;通常使い;もの","0.1794479638338089;0.15631166100502014;0.15631166100502014;0.14087799191474915;0.13555283844470978;0.1334526687860489;0.09804520010948181"
"そんなんでした、自動機能とこありますか？","自動機能","1.0"
"そんなんで死ぬ。","",""
"そんなプリクラみたいなことできるんですねデジカメで","プリクラ;デジカメ;こと","0.3823609948158264;0.31826290488243103;0.29937610030174255"
"そんなプロの人じゃなくても写真付きぐらいの人。","人;プロ;写真","0.4614640772342682;0.33767229318618774;0.20086361467838287"
"そんな安い値段でカメラが今家帰るんですね。ズームはどれぐらい効くんですか？","値段;カメラ;効くん;ズーム","0.3628427982330322;0.3235556185245514;0.18701238930225372;0.12658919394016266"
"そんな感じ。","感じ","1.0"
"そんな日もあるんですね5色もすごい価格っておいくらですか。","価格;5","1.0;0.0"
"そんな機能あるんですねいいの部屋なんか服をカメラをやりたいと思ったんですけど恥ずかしくて","服;カメラ;部屋","0.3382693827152252;0.3382693827152252;0.32346123456954956"
"そんな色の展開はどっかにある。","色;展開","0.5572286248207092;0.4427713453769684"
"そんな薬局を一気に上がりますねわかりました重さとかも結構変わってきますかね","薬局;重さ","0.5944305658340454;0.4055694043636322"
"そんな重くもないかすごいな。","",""
"たい。 いらっしゃいませご説明させて頂きますこちらの8 USB ポートに USB を挿していただいてよろしいでしょうかはいそうしましたら画面が画面に写真が映りますのでそちらで写真撮りたい写真を選んでいただきましてで一番右の印刷ボタンというものがございますのでそちらをしていただいてもよろしいでしょうか","写真;画面;画面;8 USB ポート;USB;印刷ボタン;もの;右;8;一","0.3328510522842407;0.10555297136306763;0.10555297136306763;0.09958773851394653;0.09958773851394653;0.08675552904605865;0.08675552904605865;0.08335647732019424;0.0;0.0"
